node_id,node_type,name,title_canonical,ai_type,job_family,posted_month,origine,source,famille,stage,focus
job_anapec_ET161222815622,Job,,Analyste Data Center — Pharma,ml-first,OTHER,2022-12,Maroc,anapec,,,
job_anapec_ET1303261098335,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-03,Maroc,anapec,,,
job_glassdoor_ma_1008699208482,Job,,**Mission :**,non-ai,OTHER,2024-11,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1006363021763,Job,,Data Analyst (REF05),non-ai,DATA_ANALYST,2026-02,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1007716895968,Job,,Data Scientist (REF04),ml-first,DATA_SCIENTIST,2026-02,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1008252800747,Job,,Qualification:,non-ai,OTHER,2026-02,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009240217418,Job,,Data Engineer,ml-first,DATA_ENGINEER,2026-02,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1008667992211,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1008685852137,Job,,Consultant Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009308967052,Job,,"(Senior) AI Architect, Platinion",ai-first,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009375736507,Job,,Quantitative Risk Analyst / Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009386817399,Job,,DATA ANALYST / MARKETING,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009472647937,Job,,Data Ingénieur,non-ai,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009587446142,Job,,DataOps Engineer,ml-first,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009649290508,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009767636277,Job,,AI Machine Learning Optimization Engineer,ml-first,ML_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009896932256,Job,,**Data Engineer**,non-ai,DATA_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009903026789,Job,,"Data Scientist II - QuantumBlack, AI By McKinsey",ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009914011643,Job,,**Data Engineer / Data Quality & IA Matching**,non-ai,DATA_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009914158741,Job,,Lead Data Engineer,non-ai,DATA_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009916297045,Job,,Data Scientist / ML Engineer,ai-first,ML_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009928509830,Job,,"Applied AI, Forward Deployed Machine Learning Engineer - Morocco",ai-first,AI_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009946519065,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1009975381863,Job,,"Senior Data Scientist - QuantumBlack, AI By McKinsey",ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010000570260,Job,,Data Science Engineer,ml-first,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010005833420,Job,,**Nous Recrutons : Consultant Data Engineer & MLOps** **Casablanca \| Mission : 12 Mois Renouvelables**,ml-first,MLOPS_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010030035083,Job,,Analytics Graduate Program - Client Capabilities Network,ml-first,OTHER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010032857038,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010039184617,Job,,Data Platform Engineer,non-ai,DATA_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010040645929,Job,,Ingénieur D’État/ Data Analyst – Rabat,non-ai,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010045038766,Job,,Machine Learning Engineer Expert,ai-first,ML_ENGINEER,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010045922826,Job,,Reporting Analyst,ai-first,DATA_ANALYST,2026-04,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010053956671,Job,,Google Cloud AI Specialist,ml-first,OTHER,2026-04,Maroc,glassdoor-ma,,,
